name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Liquid Lounge - Hyatt Centric MG Road,No,Yes,4.0/5,91,"080 40187200
+91 7767042422",Ulsoor,Lounge,Cocktails,"Finger Food, Continental, Chinese","2,400",Dine-out,Indiranagar
The Chocolate Heaven,Yes,No,3.8/5,135,+91 9686977688,Old Airport Road,"Dessert Parlor, Cafe","Paneer Pizza, Sizzler Brownie, Hot Chocolate, Pancakes, Pasta, Coffee, Nutella Waffle","Desserts, Cafe, Italian, Beverages",700,Dine-out,Indiranagar
Ginseng - Royal Orchid Hotel,No,Yes,4.0/5,170,"+91 9686611406
+91 9902954007",Old Airport Road,Fine Dining,"Fish Chilli, Tea, Lamb, Thai Wok Chicken","Chinese, Thai, Asian","1,900",Dine-out,Indiranagar
Mamma Mexicana,Yes,Yes,2.2/5,406,+91 9886670606,MG Road,Casual Dining,"Nachos, Pizza, Margarita, Mushroom Soup, Tacos, Tortilla Soup, Chicken Burritos",Mexican,"1,000",Dine-out,Indiranagar
Desi Bytes,Yes,No,3.1/5,97,"+91 9741526540
+91 7406399000",Old Airport Road,Quick Bites,"Biryani, Murgh Lababdar, Thali","North Indian, Chinese",450,Dine-out,Indiranagar
Palki Restaurant,No,No,2.8/5,93,"+91 9880078224
080 41258217",Old Airport Road,Casual Dining,"Murgh Ghee Roast, Biryani, Dal Fry","North Indian, Chinese, Biryani, Mangalorean",500,Dine-out,Indiranagar
Stuffd,Yes,No,3.8/5,32,+91 8048143038,Old Airport Road,"Takeaway, Delivery","Gol Gappe, Noodles, Lassi, Chocolate Milkshake","Continental, North Indian",500,Dine-out,Indiranagar
Mac Fast Food,No,No,2.8/5,50,"080 25273292
+91 9741357705",Old Airport Road,Quick Bites,Burgers,"Fast Food, Chinese",400,Dine-out,Indiranagar
M.M.A Kababs Rolls & Biryani Center,Yes,No,2.7/5,67,+91 9901251691,Old Madras Road,Quick Bites,"Rolls, Chicken Grill","Mughlai, Chinese, Kebab",300,Dine-out,Indiranagar
The Coffee Bean & Tea Leaf,Yes,No,3.8/5,259,+91 8022086888,MG Road,Cafe,"Coffee, Sandwiches, Blueberry Muffin, Pancakes, Espresso, Cappuccino, Cheesecake",Cafe,700,Dine-out,Indiranagar
Italia - The Park Bangalore,No,No,3.7/5,82,"+91 9035808038
+91 9049882302",MG Road,Fine Dining,"Pasta, Pizza, Wine, Tiramisu, Spaghetti, Salad, Ravioli",Italian,"2,500",Dine-out,Indiranagar
Shanmukha,Yes,No,3.8/5,138,080 49653049,Old Airport Road,Casual Dining,"Fish, Chicken Curry, Paneer Biryani","Biryani, Andhra, North Indian, Chinese",800,Dine-out,Indiranagar
Three Dots & A Dash,No,Yes,4.1/5,3864,080 49653111,Indiranagar,"Casual Dining, Bar","Cocktails, Pork Dumplings, Pork Steak, Cosmopolitan, Pizza, Mocktails, Chicken Pasta","European, Continental","1,300",Drinks & nightlife,Indiranagar
1131 Bar + Kitchen,No,Yes,4.6/5,2785,080 49652166,Indiranagar,"Bar, Casual Dining","Pizza, Chocolate Cake, Cocktails, Beer, Nachos, Sangria, Mocktails","Continental, Asian, Italian, North Indian","1,500",Drinks & nightlife,Indiranagar
Vapour Pub & Brewery,No,Yes,4.2/5,6907,080 49652872,Indiranagar,"Microbrewery, Pub","Pesto Pasta, Craft Beer, Wheat Beer, Cocktails, Crispy Chilli Corn, Butter Chicken, Paneer Tikka","North Indian, Continental, Chinese","1,400",Drinks & nightlife,Indiranagar
Toit,No,No,4.7/5,14956,+91 9019713388,Indiranagar,Microbrewery,"Beer, Pesto Pizza, Nachos, Cocktails, Beef Lasagna, Mai Thai, Tacos","Italian, American, Pizza","1,500",Drinks & nightlife,Indiranagar
Arena - Artisanal Brewkitchen,No,Yes,4.1/5,177,"+91 8041133313
+91 9606064301",Indiranagar,"Pub, Casual Dining","Cocktails, Mocktails, Pizza, Sushi, Beer","Sushi, Continental, Pizza, Italian, Asian","2,000",Drinks & nightlife,Indiranagar
The Black Rabbit,No,Yes,4.3/5,4187,"080 42415575
+91 7406636763",Indiranagar,"Bar, Casual Dining","Burgers, Spicy Fries, Cosmopolitan, Cocktails, Custard, Pepperoni Pizza, Peri Peri Chicken","Continental, Salad, Burger, Finger Food, Pizza","1,500",Drinks & nightlife,Indiranagar
Nevermind - Bar & Social,No,Yes,NEW,0,080 49652505,Indiranagar,"Casual Dining, Bar","Pasta, Nachos, Beef Teriyaki, Pizza","Continental, Asian, Modern Indian","1,700",Drinks & nightlife,Indiranagar
LOFT38,No,Yes,4.3/5,3592,080 49337555,Indiranagar,"Lounge, Casual Dining","Cocktails, Mushroom Pizza, Pork Ribs, Mocktails, Nachos, Sea Food, Long Island Iced Tea","Continental, American, Asian, North Indian, Burger","2,100",Drinks & nightlife,Indiranagar
Tipsy Bull - The Bar Exchange,No,Yes,4.4/5,2993,080 49652910,Indiranagar,"Bar, Casual Dining","Cocktails, Peri Peri Chicken, Pizza, Mocktails, Biryani, Sangria, Chicken Dim Sum","Chinese, Continental, North Indian, Mexican","1,400",Drinks & nightlife,Indiranagar
BTDT? Been There Done That,No,Yes,4.3/5,879,+91 9108974398,Indiranagar,"Bar, Casual Dining","Cocktails, Momos, Pizza, Roti, Mocktails, Nachos, Fish","European, Continental, Asian, Finger Food","1,300",Drinks & nightlife,Indiranagar
Tippler,No,Yes,4.2/5,2901,080 49652782,Indiranagar,Pub,"Cocktails, Pie, Peri Peri Fries, Long Island Iced Tea, Chicken Steak, Mocktails, Nachos","Russian, Continental, North Indian","1,300",Drinks & nightlife,Indiranagar
Monkey Bar,Yes,No,4.3/5,3848,080 44114455,Indiranagar,Pub,"Cocktails, Burgers, Nachos, Sandwiches, Butterfly Chicken, Pizza, Dabeli","American, Asian, European, North Indian","1,400",Drinks & nightlife,Indiranagar
Ciclo Cafe,Yes,No,4.3/5,1273,"00 08048664512
+91 7829278585",Indiranagar,"Cafe, Casual Dining","Pizza, Cheesy Fries, Tiramisu, Ravioli Pasta, Salads, Burgers, Cocktails","Cafe, Italian, American","1,000",Drinks & nightlife,Indiranagar
Lono,No,Yes,4.2/5,172,"+91 8088664206
+91 9980838486",Indiranagar,"Lounge, Casual Dining","Cocktails, Pizza, Mocktails, Jalapeno Nuggets, Chicken Tikka, Fish Grill, Steak","Continental, Modern Indian","1,500",Drinks & nightlife,Indiranagar
Barebones - The Balcony Bar,No,Yes,4.2/5,2445,080 49652591,Indiranagar,"Bar, Casual Dining","Chips, Lamb, Cocktails, Wedges, Roast Chicken, Pizza, Margarita","Chinese, Continental, Finger Food, Italian","1,500",Drinks & nightlife,Indiranagar
The Humming Tree,Yes,No,4.1/5,2415,"+91 9886618386
00 08066021808",Indiranagar,Lounge,"Sangria, Chicken Salad, Sandwiches, Cocktails, Pizza, Gnocchi, Chicken Satay","Fast Food, European","1,400",Drinks & nightlife,Indiranagar
Plan B,No,No,4.2/5,1651,+91 8041609100,Indiranagar,"Casual Dining, Pub","Burgers, Chicken Wings, Beer, Cocktails, Peri Peri Chicken Steak, Peri Peri Wings, Peri Fries","American, Continental, BBQ, Steak","1,200",Drinks & nightlife,Indiranagar
Jonah's,Yes,Yes,4.1/5,1827,"+91 7349671712
+91 7349671711",Indiranagar,"Casual Dining, Bar","Pizza, Cocktails, Pasta, Mushroom Soup, Panna Cotta, Mocktails, Sandwich","Italian, Seafood, American, Continental","1,100",Drinks & nightlife,Indiranagar
Swing,No,Yes,3.8/5,201,080 49653450,Indiranagar,"Casual Dining, Bar","Chicken Wings, Murgh Ghee Roast, Paneer Tikka","North Indian, Chinese, Mangalorean","1,000",Drinks & nightlife,Indiranagar
Wall Street 657,No,No,4.1/5,1858,"+91 9900927657
00 919742659299",Indiranagar,Bar,"Beer, Cocktails, Brownie, Chicken Satay, Chicken Wings, Pizza, Chilli Paneer","Finger Food, Continental","1,200",Drinks & nightlife,Indiranagar
Xtreme Sports Bar,No,Yes,3.6/5,1111,"+91 9663312706
+91 8668873469",Indiranagar,Lounge,"Mojito, Beer, Cocktails, Chicken Wings, Pasta, Nachos, Potato Wedges","Continental, Chinese, North Indian","1,400",Drinks & nightlife,Indiranagar
Agent Jack's Bar,No,Yes,4.0/5,592,080 49653212,Indiranagar,Bar,"Margarita, Masala Peanuts, Cocktails, Momos, Pizza, Chilli Chicken, Beer","Continental, North Indian, Italian","1,300",Drinks & nightlife,Indiranagar
Hangover,Yes,Yes,4.0/5,1413,080 49653251,Indiranagar,"Bar, Casual Dining","Cocktails, Blueberry Cheesecake, Margarita, Long Island Iced Tea, Sangria, Bbq Pizza, Beer","Thai, Chinese, North Indian, Continental, Steak","1,500",Drinks & nightlife,Indiranagar
Pecos Stones,No,Yes,4.2/5,1089,"+91 8971664068
+91 9986524411",Indiranagar,"Pub, Casual Dining","Chicken Curry, Chicken Dosa, Sea Food, Masala Peanuts, Chicken Tacos, Draught Beer, Lime Soda",Finger Food,"1,100",Drinks & nightlife,Indiranagar
Sherlock's Pub,No,Yes,3.9/5,644,"+91 8884445645
+91 8884445646",Indiranagar,"Pub, Casual Dining","Beer, Nachos, Cocktails, Salsa, Noodles, Pasta, Jalapeno Cheeseballs","Continental, North Indian, Chinese","1,500",Drinks & nightlife,Indiranagar
Bottle & Glass,No,Yes,4.0/5,973,"+91 7338386888
+91 9742888888",Indiranagar,"Bar, Casual Dining","Bbq Chicken Pizza, Cocktails, Sangria, Beer, Chicken Nachos, Mai Thai, Burgers","Continental, Chinese, Italian","1,400",Drinks & nightlife,Indiranagar
Viceroy's Sarathi,Yes,No,3.8/5,137,"080 25256162
+91 9449890148",Indiranagar,"Casual Dining, Bar","Sea Food, Neer Dosa, Murgh Ghee Roast, Chicken Sukha, Beer, Butter Chicken, Fish Masala Fry","North Indian, Chinese",750,Drinks & nightlife,Indiranagar
Jimi's Beer Cafe,No,Yes,3.9/5,815,"+91 8892607344
080 25203879",Indiranagar,Bar,"Beer, Beef Steak, Potato Wedges, Burgers, Nachos, Chilli Pork, Masala Peanuts","American, North Indian, Chinese","1,700",Drinks & nightlife,Indiranagar
Bflat Bar,No,Yes,3.9/5,854,"+91 9591126639
+91 8170086848",Indiranagar,Lounge,"Biryani, Cocktails, Mushroom Pasta, Dragon Chicken, Beer, Noodles, Steak","North Indian, Chinese, Continental, Bengali","1,600",Drinks & nightlife,Indiranagar
Bootlegger,No,Yes,4.0/5,601,+91 8025200099,Indiranagar,Lounge,"Cocktails, Pasta, Chilli Pork, Beer, Beetroot Burger, Chicken Nachos, Pepperoni Pizza","Continental, Steak","1,800",Drinks & nightlife,Indiranagar
Doff Pub and Lounge,No,Yes,4.1/5,1341,"+91 7996604540
+91 7020190128",Indiranagar,Lounge,"Beer, Cocktails, Pasta, Chicken Lollipop, Jalapeno Cheeseballs, Nachos, Chicken Fingers","Continental, American, Pizza, North Indian, Chinese, Finger Food, Asian, Thai","1,500",Drinks & nightlife,Indiranagar
Regulars Pub & Grub,No,Yes,3.8/5,263,"080 25217428
080 25217429",Indiranagar,"Pub, Casual Dining","Beer, Masala Papad, Beef Fry, Paneer Tikka, Nachos, Murgh Ghee Roast, Chicken Pizza","Continental, South Indian, Mangalorean, Chinese, North Indian, Seafood","1,000",Drinks & nightlife,Indiranagar
Blistering Barnacles,No,Yes,3.9/5,1214,080 41263332,Indiranagar,Pub,"Strawberry Mojito, Cocktails, Chicken Momo, Caramel Custard, Long Island Iced Tea, Spring Roll, Tortilla Chips","Chinese, Continental, American, Steak","1,200",Drinks & nightlife,Indiranagar
Head O State,No,Yes,3.8/5,198,080 43770333,Indiranagar,"Casual Dining, Bar","Cocktails, Beer","Continental, Chinese, North Indian","1,000",Drinks & nightlife,Indiranagar
Loveshack,No,Yes,4.0/5,1724,"080 40959154
+91 9900034528",Domlur,"Lounge, Cafe","Corn Balls, Cocktails, Mocktails, Sunday Brunch, Fish, Chicken Wings, Nachos","Continental, Pizza, North Indian, Goan, Burger, Cafe","1,600",Drinks & nightlife,Indiranagar
Murphy's Brewhouse - The Paul Bangalore,No,Yes,4.3/5,2031,"080 40477755
080 40477777",Domlur,"Pub, Microbrewery","Chicken Bruschetta, Tandoori Chicken, Veggie Pizza, Barbeque Chicken Pizza, Nachos, Wheat Beer, Stout","Continental, North Indian, Finger Food","1,700",Drinks & nightlife,Indiranagar
Quench Bar,No,No,4.0/5,108,"080 40602020
080 40602020",Domlur,Bar,"Rooftop Ambience, Decor","Seafood, Mexican, Continental, Finger Food","1,300",Drinks & nightlife,Indiranagar
Big Pitcher,No,Yes,4.7/5,9041,080 49652494,Old Airport Road,"Pub, Microbrewery","Beer, Cocktails, Tiramisu, Tawa Chicken, Mocktails, Chicken Satay, Sea Food","American, Continental, North Indian, Mediterranean","1,800",Drinks & nightlife,Indiranagar
CloudNYN - Sterling Mac Hotel,No,No,4.1/5,403,+91 7899911484,Old Airport Road,Bar,"Pizza, Cocktails, Cheese Balls",Finger Food,"1,000",Drinks & nightlife,Indiranagar
Bangalore Pub Exchange,No,Yes,4.1/5,207,"+91 9902526032
+91 9113636391",MG Road,"Pub, Casual Dining","Pizza, Fish, Cocktails, Pasta Alfredo, Brownie Chocolate, Biryani, Rumali Roti","Continental, Finger Food, Pizza, North Indian","1,000",Drinks & nightlife,Indiranagar
Jeff's - Royal Orchid Hotel,No,No,3.9/5,73,+91 7980375965,Old Airport Road,Bar,"Cocktails, Draught Beer","Chinese, Continental","1,800",Drinks & nightlife,Indiranagar
XU,No,Yes,4.0/5,427,"+91 9513344440
+91 9513344441",Old Airport Road,"Club, Casual Dining","Cocktails, Biryani, Pizza, Veg Sushi Platter, Salads, Cheesecake, Lamb Chops","European, Spanish, Continental, Italian","2,400",Drinks & nightlife,Indiranagar
Smaaash,No,Yes,4.2/5,536,"+91 9902526032
+91 9113636391",MG Road,"Casual Dining, Pub","Pizza, Nachos, Pasta, Potli Biryani, Mojito, Draught Beer, Long Island Iced Tea","North Indian, Pizza, Chinese","1,500",Drinks & nightlife,Indiranagar
Ice - Taj MG Road Bengaluru,No,Yes,4.1/5,609,"080 66604333
080 66604444",MG Road,Club,"Cocktails, Paneer Tikka, Beer",Continental,"2,800",Drinks & nightlife,Indiranagar
i-Bar - The Park Bangalore,No,No,3.8/5,617,"080 25320445
+91 9049882302",MG Road,Lounge,Fish Fingers,"North Indian, Chinese, Mediterranean","3,000",Drinks & nightlife,Indiranagar
Library Bar - The Leela Palace,No,No,3.9/5,108,"080 30571234
080 30571345",Old Airport Road,Lounge,Decor,Finger Food,"3,000",Drinks & nightlife,Indiranagar
Aqua - The Park Bangalore,No,Yes,4.0/5,195,"+91 9035808038
+91 9049882302",MG Road,"Lounge, Bar","Cocktails, Mai Thai, Pizza, Lemon Basil Chicken","North Indian, Mediterranean, Chinese","3,000",Drinks & nightlife,Indiranagar
Mighty Small,No,No,4.1/5,258,"+91 7899644468
080 25066900",MG Road,"Casual Dining, Bar","Mocktails, Beer, Chips, Pizza, Salsa, Nachos, Roti","Continental, Chinese","1,200",Drinks & nightlife,Indiranagar
Retro Lounge Bar,No,Yes,3.8/5,108,"080 41320436
080 25363694",Ulsoor,Bar,"Pepper Prawns, Fries, Chicken Biryani","North Indian, Chinese","1,400",Drinks & nightlife,Indiranagar
Liquid Lounge - Hyatt Centric MG Road,No,Yes,4.0/5,91,"080 40187200
+91 7767042422",Ulsoor,Lounge,Cocktails,"Finger Food, Continental, Chinese","2,400",Drinks & nightlife,Indiranagar
Vapour Pub & Brewery,No,Yes,4.2/5,6907,080 49652872,Indiranagar,"Microbrewery, Pub","Pesto Pasta, Craft Beer, Wheat Beer, Cocktails, Crispy Chilli Corn, Butter Chicken, Paneer Tikka","North Indian, Continental, Chinese","1,400",Pubs and bars,Indiranagar
Three Dots & A Dash,No,Yes,4.1/5,3864,080 49653111,Indiranagar,"Casual Dining, Bar","Cocktails, Pork Dumplings, Pork Steak, Cosmopolitan, Pizza, Mocktails, Chicken Pasta","European, Continental","1,300",Pubs and bars,Indiranagar
Nevermind - Bar & Social,No,Yes,NEW,0,080 49652505,Indiranagar,"Casual Dining, Bar","Pasta, Nachos, Beef Teriyaki, Pizza","Continental, Asian, Modern Indian","1,700",Pubs and bars,Indiranagar
Bob's Bar,No,No,4.3/5,424,+91 7899025176,Indiranagar,"Bar, Casual Dining","Mutton Chops, Filter Coffee, Donne Biryani, Pork Ribs, Roast Beef, Honey Cake, Keema Dosa","South Indian, Finger Food","1,000",Pubs and bars,Indiranagar
Arena - Artisanal Brewkitchen,No,Yes,4.1/5,177,"+91 8041133313
+91 9606064301",Indiranagar,"Pub, Casual Dining","Cocktails, Mocktails, Pizza, Sushi, Beer","Sushi, Continental, Pizza, Italian, Asian","2,000",Pubs and bars,Indiranagar
The Fatty Bao - Asian Gastro Bar,Yes,No,4.6/5,3760,00 08044114499,Indiranagar,"Casual Dining, Bar","Ramen, Cocktails, Crab Sushi, Maki Roll, Creme Brulee, Thai Chicken Salad, Beef Salad","Asian, Thai, Vietnamese, Malaysian, Beverages","1,200",Pubs and bars,Indiranagar
The Black Rabbit,No,Yes,4.3/5,4187,"080 42415575
+91 7406636763",Indiranagar,"Bar, Casual Dining","Burgers, Spicy Fries, Cosmopolitan, Cocktails, Custard, Pepperoni Pizza, Peri Peri Chicken","Continental, Salad, Burger, Finger Food, Pizza","1,500",Pubs and bars,Indiranagar
1131 Bar + Kitchen,No,Yes,4.6/5,2785,080 49652166,Indiranagar,"Bar, Casual Dining","Pizza, Chocolate Cake, Cocktails, Beer, Nachos, Sangria, Mocktails","Continental, Asian, Italian, North Indian","1,500",Pubs and bars,Indiranagar
Sly Granny - The Community House,No,Yes,4.4/5,953,"080 48536712
080 48536715",Indiranagar,"Fine Dining, Bar","Cocktails, Pie, Rolls, Mezze Platter, Schnitzel, Pancakes, Eggs Benedict","Modern Indian, European, American","2,500",Pubs and bars,Indiranagar
Tipsy Bull - The Bar Exchange,No,Yes,4.4/5,2993,080 49652910,Indiranagar,"Bar, Casual Dining","Cocktails, Peri Peri Chicken, Pizza, Mocktails, Biryani, Sangria, Chicken Dim Sum","Chinese, Continental, North Indian, Mexican","1,400",Pubs and bars,Indiranagar
BTDT? Been There Done That,No,Yes,4.3/5,879,+91 9108974398,Indiranagar,"Bar, Casual Dining","Cocktails, Momos, Pizza, Roti, Mocktails, Nachos, Fish","European, Continental, Asian, Finger Food","1,300",Pubs and bars,Indiranagar
Tippler,No,Yes,4.2/5,2901,080 49652782,Indiranagar,Pub,"Cocktails, Pie, Peri Peri Fries, Long Island Iced Tea, Chicken Steak, Mocktails, Nachos","Russian, Continental, North Indian","1,300",Pubs and bars,Indiranagar
Monkey Bar,Yes,No,4.3/5,3848,080 44114455,Indiranagar,Pub,"Cocktails, Burgers, Nachos, Sandwiches, Butterfly Chicken, Pizza, Dabeli","American, Asian, European, North Indian","1,400",Pubs and bars,Indiranagar
Dhaba - Estd 1986 Delhi,Yes,Yes,4.4/5,1420,"080 48536713
+91 8884498122",Indiranagar,"Casual Dining, Bar","Gajar Halwa, Shikanji, Kheer, Lunch Buffet, Dal Makhani, Panner Tikka, Butter Chicken",North Indian,"1,100",Pubs and bars,Indiranagar
Barebones - The Balcony Bar,No,Yes,4.2/5,2445,080 49652591,Indiranagar,"Bar, Casual Dining","Chips, Lamb, Cocktails, Wedges, Roast Chicken, Pizza, Margarita","Chinese, Continental, Finger Food, Italian","1,500",Pubs and bars,Indiranagar
BabaYaga's,Yes,Yes,4.1/5,201,080 49652754,Indiranagar,"Bar, Casual Dining","Cocktails, Masala Fries, Chicken Wings, Beer, Onion Rings, Pizza, Nachos","American, Finger Food","1,500",Pubs and bars,Indiranagar
Nandhana Palace,No,Yes,4.2/5,902,080 49652742,Indiranagar,"Casual Dining, Bar","Andhra Meal, Mutton Soup, Vegetable Biryani, Non Veg Thali, Chicken Boneless Biryani, Mutton Biryani, Chilli Chicken","Andhra, Biryani, North Indian, Chinese",800,Pubs and bars,Indiranagar
Plan B,No,No,4.2/5,1651,+91 8041609100,Indiranagar,"Casual Dining, Pub","Burgers, Chicken Wings, Beer, Cocktails, Peri Peri Chicken Steak, Peri Peri Wings, Peri Fries","American, Continental, BBQ, Steak","1,200",Pubs and bars,Indiranagar
Jonah's,Yes,Yes,4.1/5,1827,"+91 7349671712
+91 7349671711",Indiranagar,"Casual Dining, Bar","Pizza, Cocktails, Pasta, Mushroom Soup, Panna Cotta, Mocktails, Sandwich","Italian, Seafood, American, Continental","1,100",Pubs and bars,Indiranagar
Swing,No,Yes,3.8/5,201,080 49653450,Indiranagar,"Casual Dining, Bar","Chicken Wings, Murgh Ghee Roast, Paneer Tikka","North Indian, Chinese, Mangalorean","1,000",Pubs and bars,Indiranagar
Wall Street 657,No,No,4.1/5,1858,"+91 9900927657
00 919742659299",Indiranagar,Bar,"Beer, Cocktails, Brownie, Chicken Satay, Chicken Wings, Pizza, Chilli Paneer","Finger Food, Continental","1,200",Pubs and bars,Indiranagar
Agent Jack's Bar,No,Yes,4.0/5,592,080 49653212,Indiranagar,Bar,"Margarita, Masala Peanuts, Cocktails, Momos, Pizza, Chilli Chicken, Beer","Continental, North Indian, Italian","1,300",Pubs and bars,Indiranagar
Hangover,Yes,Yes,4.0/5,1413,080 49653251,Indiranagar,"Bar, Casual Dining","Cocktails, Blueberry Cheesecake, Margarita, Long Island Iced Tea, Sangria, Bbq Pizza, Beer","Thai, Chinese, North Indian, Continental, Steak","1,500",Pubs and bars,Indiranagar
Pecos Stones,No,Yes,4.2/5,1089,"+91 8971664068
+91 9986524411",Indiranagar,"Pub, Casual Dining","Chicken Curry, Chicken Dosa, Sea Food, Masala Peanuts, Chicken Tacos, Draught Beer, Lime Soda",Finger Food,"1,100",Pubs and bars,Indiranagar
Elongo's,No,No,3.9/5,48,080 43760158,Indiranagar,Bar,"Beer, Wings","Finger Food, South Indian, Continental",900,Pubs and bars,Indiranagar
Sherlock's Pub,No,Yes,3.9/5,644,"+91 8884445645
+91 8884445646",Indiranagar,"Pub, Casual Dining","Beer, Nachos, Cocktails, Salsa, Noodles, Pasta, Jalapeno Cheeseballs","Continental, North Indian, Chinese","1,500",Pubs and bars,Indiranagar
Bottle & Glass,No,Yes,4.0/5,973,"+91 7338386888
+91 9742888888",Indiranagar,"Bar, Casual Dining","Bbq Chicken Pizza, Cocktails, Sangria, Beer, Chicken Nachos, Mai Thai, Burgers","Continental, Chinese, Italian","1,400",Pubs and bars,Indiranagar
Viceroy's Sarathi,Yes,No,3.8/5,137,"080 25256162
+91 9449890148",Indiranagar,"Casual Dining, Bar","Sea Food, Neer Dosa, Murgh Ghee Roast, Chicken Sukha, Beer, Butter Chicken, Fish Masala Fry","North Indian, Chinese",750,Pubs and bars,Indiranagar
Jimi's Beer Cafe,No,Yes,3.9/5,815,"+91 8892607344
080 25203879",Indiranagar,Bar,"Beer, Beef Steak, Potato Wedges, Burgers, Nachos, Chilli Pork, Masala Peanuts","American, North Indian, Chinese","1,700",Pubs and bars,Indiranagar
Regulars Pub & Grub,No,Yes,3.8/5,263,"080 25217428
080 25217429",Indiranagar,"Pub, Casual Dining","Beer, Masala Papad, Beef Fry, Paneer Tikka, Nachos, Murgh Ghee Roast, Chicken Pizza","Continental, South Indian, Mangalorean, Chinese, North Indian, Seafood","1,000",Pubs and bars,Indiranagar
Blistering Barnacles,No,Yes,3.9/5,1214,080 41263332,Indiranagar,Pub,"Strawberry Mojito, Cocktails, Chicken Momo, Caramel Custard, Long Island Iced Tea, Spring Roll, Tortilla Chips","Chinese, Continental, American, Steak","1,200",Pubs and bars,Indiranagar
Head O State,No,Yes,3.8/5,198,080 43770333,Indiranagar,"Casual Dining, Bar","Cocktails, Beer","Continental, Chinese, North Indian","1,000",Pubs and bars,Indiranagar
Murphy's Brewhouse - The Paul Bangalore,No,Yes,4.3/5,2031,"080 40477755
080 40477777",Domlur,"Pub, Microbrewery","Chicken Bruschetta, Tandoori Chicken, Veggie Pizza, Barbeque Chicken Pizza, Nachos, Wheat Beer, Stout","Continental, North Indian, Finger Food","1,700",Pubs and bars,Indiranagar
The Hub & The Bar - Hotel Ramada Encore,No,No,4.0/5,115,"080 40602020
+91 9686692191",Domlur,"Casual Dining, Bar","Sandwiches, Lunch Buffet, Biryani, Gulab Jamun, Breakfast Buffet, Pasta, Vada","North Indian, Continental, Chinese, European","1,700",Pubs and bars,Indiranagar
Quench Bar,No,No,4.0/5,108,"080 40602020
080 40602020",Domlur,Bar,"Rooftop Ambience, Decor","Seafood, Mexican, Continental, Finger Food","1,300",Pubs and bars,Indiranagar
Big Pitcher,No,Yes,4.7/5,9041,080 49652494,Old Airport Road,"Pub, Microbrewery","Beer, Cocktails, Tiramisu, Tawa Chicken, Mocktails, Chicken Satay, Sea Food","American, Continental, North Indian, Mediterranean","1,800",Pubs and bars,Indiranagar
CloudNYN - Sterling Mac Hotel,No,No,4.1/5,403,+91 7899911484,Old Airport Road,Bar,"Pizza, Cocktails, Cheese Balls",Finger Food,"1,000",Pubs and bars,Indiranagar
Bangalore Pub Exchange,No,Yes,4.1/5,207,"+91 9902526032
+91 9113636391",MG Road,"Pub, Casual Dining","Pizza, Fish, Cocktails, Pasta Alfredo, Brownie Chocolate, Biryani, Rumali Roti","Continental, Finger Food, Pizza, North Indian","1,000",Pubs and bars,Indiranagar
20 Char - Sterlings MAC Hotel,Yes,Yes,4.0/5,419,"+91 7406560596
+91 7353757582",Old Airport Road,"Casual Dining, Bar","Rasmalai, Pizza, Fish, Mutton Curry, Salads, Virgin Mojito, Noodles","Chinese, Continental, North Indian, South Indian, Arabian","1,400",Pubs and bars,Indiranagar
Carnival de Goa,Yes,Yes,4.2/5,980,"+91 7676767620
+91 9342412040",Ulsoor,"Casual Dining, Bar","Sea Food, Spicy Crab Soup, Cocktails, Squid Fry, Prawn Curry, Lobster, Fish Curry","Goan, Mangalorean, Pizza","1,000",Pubs and bars,Indiranagar
Jeff's - Royal Orchid Hotel,No,No,3.9/5,73,+91 7980375965,Old Airport Road,Bar,"Cocktails, Draught Beer","Chinese, Continental","1,800",Pubs and bars,Indiranagar
Smaaash,No,Yes,4.2/5,536,"+91 9902526032
+91 9113636391",MG Road,"Casual Dining, Pub","Pizza, Nachos, Pasta, Potli Biryani, Mojito, Draught Beer, Long Island Iced Tea","North Indian, Pizza, Chinese","1,500",Pubs and bars,Indiranagar
The Grill House,Yes,Yes,4.1/5,765,080 40977011,Ulsoor,"Casual Dining, Bar","Steak, Burgers, Cocktails, Beer, Buffalo Wings, Pasta, Chicken Stroganoff","American, Mexican, Italian, Steak","1,200",Pubs and bars,Indiranagar
Fort Kochi,No,Yes,4.1/5,334,"080 22086666
+91 9743488882",MG Road,"Casual Dining, Bar","Sea Food, Appam, Fish, Kerala Parotta, Sangria, Paratha, Cocktails","Kerala, Seafood","1,800",Pubs and bars,Indiranagar
Aqua - The Park Bangalore,No,Yes,4.0/5,195,"+91 9035808038
+91 9049882302",MG Road,"Lounge, Bar","Cocktails, Mai Thai, Pizza, Lemon Basil Chicken","North Indian, Mediterranean, Chinese","3,000",Pubs and bars,Indiranagar
Mighty Small,No,No,4.1/5,258,"+91 7899644468
080 25066900",MG Road,"Casual Dining, Bar","Mocktails, Beer, Chips, Pizza, Salsa, Nachos, Roti","Continental, Chinese","1,200",Pubs and bars,Indiranagar
Retro Lounge Bar,No,Yes,3.8/5,108,"080 41320436
080 25363694",Ulsoor,Bar,"Pepper Prawns, Fries, Chicken Biryani","North Indian, Chinese","1,400",Pubs and bars,Indiranagar
